"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Les fruits et légumes","","","Le vrac","","","Les fromages","","","Autres produits frais (ex: yahourts, pâtes)","","","Autres produits (boissons, produits ménagers, etc)","","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire tes courses ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire tes courses à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi n’as-tu jamais fait de créneau ?","","","","","","","Comment pourrait-on te faciliter la gestion de tes créneaux?","","","","","Si l'épicerie test du Super Cafoutch pouvait ouvrir tous les jours, quel(s) jour(s) choisirais-tu pour y faire ton créneau mensuel de 3h ?","","","","","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le LUNDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MARDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le MERCREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le JEUDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le VENDREDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le SAMEDI ?","","","A quelle(s) heure(s) souhaiterais-tu faire ton créneau à l'épicerie test du Super Cafoutch le DIMANCHE ?","","","","Pourquoi?","","","","","","","Pourquoi ?","","","","","","","","","","Laquelle ou lesquelles?","","","","","","","","","","","","Qu'as-tu pensé de ces récentes animations organisées par le Super Cafoutch ?","","","","","","","","","","",""
"mois de 20 ans","salarié.e à mi-temps","un homme","depuis la nuit des temps","deux fois par mois","bien","bien","bien","très bien","très bien","bien","très bien","très bien","bien","bien","très bien","pas terrible","bien","bien","pas terrible","","trouver plus de produits moins cher, il en faut pour tous les budgets","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","oui","X","","","","","","","X","","pas vraiment","","j’y ai déjà accès","très bien","bien","très bien","très bien","bien","bien","bien","très bien","","","","diversifier les gammes de prix pour enfin avancer sur ""l'ouverture sociale"" qu'on a jamais réussi à faire, pas de biocoop bis"
"entre 40 et 50 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","deux fois par mois","pas terrible","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","bien","bien","bien","","","non","","","X","","X","X","","","","","","","","","X","X","","","","","X","X","X","X","","","","","je n'ai jamais fait de créneau","","","","","","X","Annule en raison dû confinement ","","","","X","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","X","X","","","oui","","","","","","","non","","","","","X","Nouvelle adhérente peu de temps avant le confinement ","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","deux fois par mois","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","","plus d'une fois par mois","","","","","","","","","","","","","","","","X","","","","","","","","","","","","","","X","","","","","","","","","","","oui","","","","","","","non","","","","","X","Autres priorités ","","Difficultés des remplissages de créneaux ","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","jamais","","","","","","","","","","","","","","","","","","non","X","","","","","X","","","","X","","","","","","","","","","","","","","X","X","","","","je n'ai jamais fait de créneau","","X","X","","","","","","X","","","","","","","","X","X","X","","","","","","","","","","","","","","","X","","X","X","","X","X","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","deux fois par mois","bien","bien","bien","très bien","très bien","bien","bien","très bien","bien","très bien","très bien","très bien","bien","bien","bien","","","non","X","","","X","","X","","","X","","","","","","","","","X","","","","","X","","","","","","une fois par mois","","","","","","","","","X","","","","X","","","X","","X","","X","X","","","","","","","","X","X","","","","","X","","","","","","oui","","","","","","","non","","","","","X","J'étais de créneau pour le premier forum possible","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","pas d'avis","bien","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois par semaine","bien","bien","bien","bien","bien","bien","bien","bien","pas terrible","pas terrible","bien","bien","bien","bien","bien","","","non","X","","","","X","","","X","X","","","","","","","","","","","","X","","","","","","","","une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","bien","bien","pas d'avis","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","pas d'avis","bien","bien","pas d'avis","","","oui","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","","une fois par mois","","","","","","","","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","il y a moins de 6 mois","deux fois par mois","bien","pas terrible","pas terrible","bien","bien","très bien","pas terrible","pas terrible","pas terrible","bien","bien","bien","pas terrible","bien","bien","Ricore","","oui","X","","","","X","","","","X","","","","","","","","","","","","X","","","","","","","","plus d'une fois par mois","","","","","","","","","","","X","","","","X","","X","","","","","","","","","X","X","","","","","","X","","","","","","","","oui","","","","","","","non","","","","","X","Malade le jour où il a eu lieu","","","oui","non","","","","","","","","","","un peu","Plus d explications sur les modes de com","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","sans activité principale","un homme","il y a moins de 6 mois","une fois par mois","bien","bien","bien","pas terrible","bien","bien","pas terrible","bien","bien","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","","","oui","","X","X","","","","","","","","","X","X","X","X","","","","","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","X","","X","X","","","","","X","","","","","","X","","","","X","","","","","","","","","","oui","","","","","","","non","","","","X","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","bien","bien","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","une fois par mois","pas terrible","bien","bien","bien","bien","bien","très bien","très bien","bien","très bien","très bien","pas terrible","bien","bien","bien","","","non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","X","","","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","","","","","","oui","","","","","","","non","","","","","X","Pas pris le temps d'y aller, cela me paraît compliqué , je ne sais pas trop ce que je pourrais apporter","","","non","oui","","X","X","","","","X","","elsa.personnaz@gmail.com","pas vraiment","Expliquer le fonctionnement du Super Cafoutch lors d'une réunion mensuelle avec les nouveaux inscrits","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 30 et 40 ans","auto-entrepreneu.r.se","une femme","depuis la nuit des temps","deux fois par mois","mauvais","bien","bien","bien","bien","bien","très bien","très bien","très bien","pas terrible","bien","pas terrible","pas terrible","très bien","pas terrible","Dentifrice, mais pas en poudre. ","L'assurance que je vais trouver un choix de fruits et légumes chaque fois que je viens. Des fois ce","oui","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","X","","","","","moins d'une fois par mois","","","","","","","","X","","X","","","X","X","X","X","X","X","","","","X","","","X","","","X","","","X","","","X","X","X","","","","","oui","","","","","","","non","","","","","X","Je ne trouve pas de temos a investir dans le cafouch. Je suis tres tres present dans 3 assosiations. C'est pas ma priorité","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça ne m’intéresse pas","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","","Depuis que ça existe, les autres magasins n'existe plus. A part l'épicerie paysanne. Mais si non je rentre dans plus aucun d'au"
"plus de 60 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par semaine","bien","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","pas terrible","bien","bien","bien","bien","bien","","","oui","","","X","","","X","","","","","","","","","X","","","","","","","","X","","","","","","moins d'une fois par mois","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","il y a moins de 6 mois","une fois par semaine","pas d'avis","bien","pas terrible","bien","bien","bien","très bien","très bien","bien","bien","bien","bien","très bien","très bien","bien","Crème de riz ou de soja, en vrac melange de graines salade","","oui","X","","","X","","X","","","X","X","","","","","","","","X","X","","","","X","X","","","","","une fois par mois","","","","","","","","","","X","","","","","","X","","","","","","","","","","","","","","X","","","","","","","","","","","oui","","","","","","","non","","","","","X","Je n'étais pas a marseille","","","oui","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","bien","bien","pas d'avis","bien","bien","bien","pas d'avis","très bien","","","",""
"entre 20 et 30 ans","étudiant.e","une femme","il y a moins de 6 mois","jamais","","","","","","","","","","","","","","","","","","oui","","","","","","X","X","","","","","","","","","","","","","","","","","","X","","X","X","je n'ai jamais fait de créneau","","","","","","X","Je viens de devenir coopératrice ","","","","","","","","","","","X","X","","","","","","","","","","","","","","","","","X","X","","X","X","oui","","","","","","","non","","","","X","","","","","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","","accueillir plus de précaire/classe populaire, en faisant des partenariat avec des asso peut être ? "
"entre 30 et 40 ans","sans activité principale","une femme","depuis la nuit des temps","une fois par semaine","pas terrible","très bien","bien","bien","bien","bien","très bien","très bien","très bien","bien","bien","bien","bien","très bien","bien","plus de fruits et légumes, plus de vracs (farines diverses, graines), des gants pour la vaisselle, ","","oui","X","","","","","","","X","X","X","","","","","","","","","","","","","","","","","","","je n'ai jamais fait de créneau","","","","","","X","très active dans une branche","X","X","X","X","","X","X","X","X","X","","","X","X","X","X","","","X","","","X","","","X","","","","","","","","","oui","","","","","","","oui","","","","","","","","l'inclusion sociale","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","bien","bien","pas d'avis","pas terrible","très bien","","","",""
"plus de 60 ans","retraité.e","une femme","entre 6 mois et un an","une fois par mois","bien","bien","bien","bien","bien","bien","pas terrible","bien","bien","bien","bien","bien","pas terrible","bien","bien","livres, journaux, Dvd, produits de beauté, papèterie","qu'il y ait un endroit convivial où on puisse boire un coup, prévoir livraisons domicile pour les vieux","non","","","","","","","","","","","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","X","","","X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","la convivialité l'enthousiasme des coopérateurs l'intelligence collective","mettre une boite à idées pour améliorer le vivre ensemble, un tableau d'annonces d'offres ou de demandes de services","oui","oui","","","X","X","","","","X","maryserivoire@gmail.com","un peu","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","débat sur des thèmes de société, mise en commun d'informations par des professionnels confirmés","oui","","newsletter régulière pour nous tenir au courant de l'avancent du projet"
"entre 50 et 60 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","deux fois par mois","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","je n'ai jamais fait de créneau","","","X","","","","","","X","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","non","X","X","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","deux fois par mois","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","je n'ai jamais fait de créneau","","","X","","","","","","X","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","non","X","X","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","un homme","il y a moins de 6 mois","deux fois par mois","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","je n'ai jamais fait de créneau","","","X","","","","","","X","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","non","X","X","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","","ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","une femme","depuis la nuit des temps","une fois par mois","pas terrible","pas terrible","pas terrible","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","pas terrible","pas terrible","pas terrible","toujours plus de bio- présenté séparement.","","oui","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","moins d'une fois par mois","","","","","","","","","","","X","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","auto-entrepreneu.r.se","un homme","entre 6 mois et un an","deux fois par mois","bien","très bien","très bien","très bien","très bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","non","","","","","X","X","X","","","","","","","","","","","","","","","X","","X","","X","","","je n'ai jamais fait de créneau","","","X","","","","","","X","X","","","","","","","X","X","X","","","","","","","","","","","","","","","X","","X","","","","X","oui","","","","","","","non","","X","","","","","","","non","oui","","X","","","","","","","pcrcaa@mac.com","pas du tout","Inscrit en juin 19, jamais sur la liste quand je faisais les courses ""ah tu n'as pas le droit de venir...""","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","étudiant.e","un homme","il y a moins de 6 mois","deux fois par mois","pas terrible","très bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","Tofu, aliments pour les vegans","tout OK","oui","","","","","","X","X","","","","","","","","","","","","","","","","","X","","","X","","une fois par mois","","","","","","","","","","X","","","","","X","","","X","X","","","","","","","","X","","","","","","","","","X","X","X","X","","oui","","","","","","","oui","","","","","","","bonnes discussions et bon ambiance","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","bien","pas d'avis","très bien","très bien","très bien","bien","très bien","très bien","","","",""
"entre 20 et 30 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","très bien","très bien","très bien","pas terrible","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","très bien","plus de vrac, notamment dans les produits ménagers et d'hygiène.","","oui","","","X","","","X","","","","","","","","","X","X","","","","","","","","X","X","","","","moins d'une fois par mois","","","","","","","","","","X","","","","","","","","X","X","","","","","","","","","","","","","","","","X","X","","","X","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","oui tout à fait","Travailler sur l'attitude paternaliste de certain salarié du cafoutch envers les coopérateurs.","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","salarié.e à plein temps","une femme","il y a moins de 6 mois","une fois par mois","bien","bien","pas terrible","pas d'avis","pas d'avis","pas d'avis","pas terrible","bien","pas terrible","bien","bien","pas terrible","très bien","bien","bien","","plus de choix","non","","","","","X","","","","","","","","","","","","","","","","X","","","","","","","","une fois par mois","","","","","","","","","","","","","","","X","","X","","","","","","","","","X","X","","","","","","X","","","","","","","","non","X","X","X","","","","oui","","","","","","","avoir des nouvelles du projet de supermarché","choix des achats de produits","non","non","","","","","","","","","","pas du tout","parrainage, guidage","j’y ai déjà accès","pas d'avis","pas d'avis","bien","bien","pas d'avis","très bien","pas terrible","très bien","","","","plus de mixité sociale, de diversité."
"entre 40 et 50 ans","salarié.e à plein temps","une femme","entre 6 mois et un an","deux fois par mois","bien","très bien","très bien","pas terrible","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","","","oui","X","","","","","X","","","","X","","","","","","","","","","","","","X","","","","","","une fois par mois","","","","","","","","","","","X","","","","","","","X","X","","","","","","","","","","","","","","","","X","","","X","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","pas vraiment","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","","","",""
"plus de 60 ans","retraité.e","un homme","entre 6 mois et un an","une fois par semaine","pas terrible","bien","bien","bien","bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","très bien","","","non","X","","","","","","","X","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","X","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","Habitant au Frioul, horaires navettes restreint en hiver .","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","très bien","très bien","","","",""
"entre 20 et 30 ans","étudiant.e","une femme","entre 6 mois et un an","deux fois par mois","pas terrible","pas terrible","bien","bien","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","bien","bien","De la vitamine B12","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","X","","","","","X","","","X","","","","","","","","","","X","","","","","","","X","","","","","","oui","","","","","","","non","","X","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça ne m’intéresse pas","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","une femme","depuis la nuit des temps","une fois par mois","bien","bien","bien","bien","très bien","très bien","très bien","très bien","bien","très bien","très bien","très bien","très bien","très bien","très bien","","","oui","","","X","","","X","","","","","","","","X","","","","","","","","","X","","","","","","plus d'une fois par mois","","","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","oui","","","","","","","","","oui","non","","","","","","","","","","oui tout à fait","","j’y ai déjà accès","très bien","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","","","",""
"entre 40 et 50 ans","auto-entrepreneu.r.se","une femme","il y a moins de 6 mois","une fois par semaine","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","","","oui","X","","","","X","","","","X","X","","","","","","","","","","","X","X","","","","","","","une fois par mois","","","","","","","","","X","X","X","","X","X","X","X","X","X","","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","","","","","oui","","","","","","","non","","","","","X"," indisponibilité pour raison de santé","","","non","oui","X","X","","X","X","","","X","","un peu","un modele de tutorat ou de parrain référent pour comprendre les fonctionnements","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","très bien","","","",""
"plus de 60 ans","retraité.e","un homme","depuis la nuit des temps","une fois par semaine","bien","bien","bien","bien","bien","bien","bien","très bien","pas terrible","pas d'avis","pas d'avis","pas d'avis","bien","bien","bien","","une liste en ligne des produits proposés, principalement fruits et légumes, si ce n'est pas trop complexe...","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","non","","X","","","","","oui","","","","","","","La convivialité, l'information sur l'évolution du projet, le travail en sous groupe, l'apéro","","oui","oui","X","","","","","","","","","oui tout à fait","pouvoir nommer un ""parrain"" pour répondre aux questions éventuelles d'un nouveau coopérateur ","j’y ai déjà accès","très bien","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","très bien","","","","Continuons notre aventure en espérant que si nous sommes 2 ou 3000 un jour, la convivialité et la proximité restent les mêmes"
"entre 30 et 40 ans","auto-entrepreneu.r.se","un homme","il y a moins de 6 mois","une fois tous les deux mois (ou plus)","bien","bien","bien","très bien","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","bien","bien","Plus de produits biologiques, notamment pour toutes les références citées au-dessus. ","Horaire et accessibilité :)","non","X","X","","X","X","X","X","","X","X","","X","X","","","","","X","X","","X","X","X","X","X","X","X","X","je n'ai jamais fait de créneau","X","X","","","X","","","","","X","X","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","un peu","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","","","",""
"plus de 60 ans","retraité.e","un homme","entre 6 mois et un an","une fois tous les deux mois (ou plus)","très bien","bien","bien","pas d'avis","pas d'avis","pas d'avis","bien","très bien","pas terrible","pas d'avis","pas d'avis","pas d'avis","très bien","bien","pas terrible","","","oui","","X","","","","","X","","","","","X","X","","","","","","","","","","","","","","X","","je n'ai jamais fait de créneau","X","","","","X","","","X","","X","","","","","","X","","","","","","","","","","","","","X","","","","","","","","","","","","oui","","","","","","","oui","","","","","","","","","oui","oui","X","","X","X","","","","","alboschet@laposte.net","pas vraiment","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","très bien","très bien mais sauf erreur je n'ai pas été assez informé...","oui","","Je viens seulement d'être en retraite ; donc normalement plus libre désormais"
"plus de 60 ans","retraité.e","une femme","entre 6 mois et un an","deux fois par mois","bien","bien","bien","bien","bien","bien","très bien","très bien","bien","bien","bien","bien","bien","bien","bien","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","","une fois par mois","","","","","","","","","","X","","","X","","","","","","","","X","","","","","","","","","","","","","","","","","","","","oui","","","","","","","non","","","","","X","Jusqu'à présent j'avais une activité professionnelle qui se réduit maintenant","","","oui","oui","","","","X","","","","","katherine.liebeaux@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","très bien","très bien","très bien","très bien","bien","bien","bien","","","",""
"entre 30 et 40 ans","étudiant.e","une femme","entre 6 mois et un an","une fois par mois","bien","très bien","bien","très bien","très bien","bien","pas terrible","très bien","bien","pas terrible","très bien","bien","pas terrible","très bien","bien","","","oui","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","une fois par mois","","","","","","","","","X","","","","","","","","","X","","","","","","","","","","","","","","","","","X","","","","","","oui","","","","","","","non","","X","","","","","","","non","oui","","","","","","","","X","fab357.ferrat@gmail.com","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","pas d'avis","pas d'avis","pas d'avis","bien","très bien","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 40 et 50 ans","salarié.e à plein temps","un homme","depuis la nuit des temps","jamais","","","","","","","","","","","","","","","","","","oui","","","","","","X","","","","","","","","","","","","","","","","","","X","","","","","moins d'une fois par mois","","","","","","","","X","","","","","","","","","","","X","","","","","","","","","","","","","","","","","","","X","","","oui","","","","","","","oui","","","","","","","","","non","non","","","","","","","","","","oui tout à fait","","je ne savais pas que ça existait mais ça m’intéresse","très bien","pas d'avis","pas d'avis","pas d'avis","très bien","pas d'avis","pas d'avis","pas d'avis","","","",""
"entre 50 et 60 ans","auto-entrepreneu.r.se","une femme","depuis la nuit des temps","deux fois par mois","bien","pas terrible","pas terrible","pas terrible","bien","pas terrible","très bien","bien","pas terrible","pas terrible","bien","pas terrible","pas terrible","pas terrible","pas terrible","Tout, vous connaissez les nouveaux Robinsons à Montreuil ? On trouve tout..de qualité..et aussi l'essentiels... ","La situation géographique de Super Cafoutch","non","","","","X","","","","","","","","","","","","","X","X","X","","","","","","","","","","une fois par mois","","","","","","","","","X","","","","","","","X","","","","","","","","","","","","","","X","X","","","","","","","","","","oui","","","","","","","oui","","","","","","","Les informations et échanges...","Sur l'éthique de super Cafoutch, j'ai pas bien compris...","non","oui","X","","","","","","","X","mariviere13@yahoo.fr","un peu","","j’y ai déjà accès","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","pas d'avis","très bien","DIY sur tout le ménager et l'hygiene, la lacto-fermentation: légumes, fruits, boissons, pains...","oui","","Vivement le Grand Super Cafoutch ! Il faudrait changer ce genre de questionnaire, les réponses au questions sont très limitées !"
